,x_shift,y_shift,cluster
0,-11460.676044773474,-5845.605518485879,cluster_5
1,-11411.848042548436,-5803.283456781174,cluster_5
2,-11373.296728639396,-5769.868796919886,cluster_5
3,-11451.15753240289,-5837.35527171092,cluster_5
4,-11383.645071530922,-5778.838305940102,cluster_5
5,-11438.866159404832,-5826.701625795571,cluster_5
6,-11369.241256543986,-5766.353684024776,cluster_5
7,-11359.533969629678,-5757.939815403259,cluster_5
8,-11354.747589935514,-5753.791182497393,cluster_5
9,-11362.976103378965,-5760.923312378249,cluster_5
10,-11357.717521384742,-5756.365394349716,cluster_5
11,-11683.47705886863,-6038.720080555161,cluster_5
12,-11632.376711484789,-5994.428445498223,cluster_5
13,-11626.444145922447,-5989.286346818055,cluster_5
14,-11615.29690204248,-5979.62438397241,cluster_5
15,-11600.388346510355,-5966.702274150045,cluster_5
16,-11612.01982537096,-5976.783951540545,cluster_5
17,-11717.77022943558,-6068.443960596279,cluster_5
18,-11700.852057005937,-6053.7799992447935,cluster_5
19,-11636.510512867728,-5998.011450930175,cluster_5
20,-11612.016697860156,-5976.781240745525,cluster_5
21,-11707.309385646538,-6059.376940522784,cluster_5
22,-11679.824529621954,-6035.554221598991,cluster_5
23,-11730.696636640854,-6079.6480274929845,cluster_5
24,-11759.956704890163,-6105.009425819785,cluster_5
25,-11642.494616194068,-6003.1982203797525,cluster_5
26,-11544.59133871787,-5918.339771095995,cluster_5
27,-11748.325559573119,-6094.928037530834,cluster_5
28,-11732.405409866591,-6081.1291203619,cluster_5
29,-11513.519261661786,-5891.407799634206,cluster_5
30,-11648.581754664046,-6008.47429636468,cluster_5
31,-11727.920372958686,-6077.241678727705,cluster_5
32,-11505.651936617736,-5884.5887326891625,cluster_5
33,-11588.948961842769,-5956.787095938695,cluster_5
34,-11697.747297184691,-6051.088923821976,cluster_5
35,-11760.150270860166,-6105.177200673415,cluster_5
36,-11673.571412762702,-6030.134282516817,cluster_5
37,-11744.490839412818,-6091.604263142185,cluster_5
38,-11757.313979136272,-6102.71882212256,cluster_5
39,-11673.966481281786,-6030.476711317512,cluster_5
40,-11769.759466010997,-6113.5060474739,cluster_5
41,-11746.509211748491,-6093.353703517398,cluster_5
42,-11757.584563891696,-6102.953353624845,cluster_5
43,-11704.522393160816,-6056.961292481161,cluster_5
44,-11668.965922577827,-6026.142437040805,cluster_5
45,-11734.509698183465,-6082.953029101414,cluster_5
46,-11780.653103865472,-6122.948195267311,cluster_5
47,-11770.52053465895,-6114.165709815435,cluster_5
48,-11752.226109098525,-6098.3088700485305,cluster_5
49,-11753.827022817533,-6099.696474826777,cluster_5
50,-11768.725619746847,-6112.609952950457,cluster_5
51,-11739.011033016677,-6086.854597092805,cluster_5
52,-11813.717504962853,-6151.607029536695,cluster_5
53,-11634.53581635274,-5996.299866922086,cluster_5
54,-11658.960919342717,-6017.470520415573,cluster_5
55,-11696.781383167736,-6050.251710117459,cluster_5
56,-11712.7640856324,-6064.104845390124,cluster_5
57,-11796.33637060276,-6136.541792226853,cluster_5
58,-11755.257876830763,-6100.936678994036,cluster_5
59,-11783.42398783239,-6125.349881121342,cluster_5
60,-11749.640916334818,-6096.06813353099,cluster_5
61,-11652.329550159282,-6011.722728104217,cluster_5
62,-11770.346224498,-6114.014625088405,cluster_5
63,-11743.743460001395,-6090.95646605597,cluster_5
64,-11696.343680407364,-6049.872327746922,cluster_5
65,-11758.935661498359,-6104.12442828841,cluster_5
66,-11706.375851917366,-6058.567792691845,cluster_5
67,-11797.53136502808,-6137.57756320868,cluster_5
68,-11771.298539228788,-6114.840051502802,cluster_5
69,-11644.152050608936,-6004.634814923479,cluster_5
70,-11670.026340131833,-6027.061562442385,cluster_5
71,-11626.381688135532,-5989.232211031388,cluster_5
72,-11613.944187801299,-5978.4519080779355,cluster_5
73,-11661.555176234786,-6019.719113338913,cluster_5
74,-11648.02149403436,-6007.988685980068,cluster_5
75,-11590.794258870765,-5958.386521905834,cluster_5
76,-11702.82568485006,-6055.4906569738605,cluster_5
77,-11689.907577832686,-6044.293784331446,cluster_5
78,-11678.377357493544,-6034.299873574805,cluster_5
79,-11643.395596087554,-6003.979151913078,cluster_5
80,-11579.513780086532,-5948.609076640625,cluster_5
81,-11622.609787848729,-5985.962886270847,cluster_5
82,-11732.255785974368,-6080.99943265586,cluster_5
