EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,cluster
307557600207100022,,350.1011862716461,11761.138311329263,5892.569717936785,11757.286207661964,5889.510216348373,11764.01296270236,5896.377004296155,1.0226466392769178,85,0.6586055574436583,1.0,cluster_5
307557600207100026,,2712.180736460341,11708.991224342652,5903.405029517269,11691.418939240915,5896.1078887459935,11731.747210578244,5911.101935426461,2.71318707856723,372,0.4214957991673112,0.6417021254728273,cluster_5
307557600207100032,,374.8702506277603,11670.878147589716,5908.4308935469935,11662.069569117402,5902.038729442875,11676.443499247762,5915.04185405783,3.0733493923046327,54,1.3183912423347974,0.4697564096316721,cluster_5
307557600207200124,,3409.199793486937,11747.86819560591,5898.263782266601,11734.302380719317,5888.754239393005,11761.624462515065,5907.512209376284,1.7504765471796733,749,0.2602098797327132,0.8911711957807235,cluster_5
307557600207200130,,2326.5219815474834,11686.684262545985,5900.649313656626,11670.054516637512,5895.574942285826,11702.009679148472,5908.282643928094,2.887310343951917,378,0.3748499601848477,0.8064133114001302,cluster_5
307557600207200133,,2749.07941289096,11729.131968398082,5907.462975409775,11718.738125487527,5897.958375840239,11740.41035994848,5916.374082210607,1.434964800225489,155,0.2557080524508501,0.9169999769588824,cluster_5
307557600207200138,,662.6478634790149,11667.803521144511,5907.881160267769,11663.957711481173,5902.750751110485,11672.903064983986,5912.822260249197,1.0428066467234058,91,0.4826913398004082,0.96607375607058,cluster_5
307557600207200142,,1948.9139228798167,11655.487140016005,5912.284169729696,11647.151094942312,5902.612669440632,11670.58476931685,5922.591086975945,2.189081049298592,194,0.3532072110488422,0.7350249737522893,cluster_5
307557600207200149,,863.795408693714,11641.97306724893,5923.040289084702,11634.414088925065,5915.353726386093,11649.160283345444,5931.13255081114,2.449173465567878,103,0.6070529193739053,0.7087958908725339,cluster_5
307557600207200153,,927.4005955594354,11643.872197322537,5929.162000053382,11638.475752850503,5922.721125817691,11648.659920394311,5935.081615460804,1.2839528280998591,70,0.4054642216021084,0.972004547941088,cluster_5
307557600207200158,,1201.2061525957006,11632.487305930392,5936.984592295128,11625.460538944812,5929.127036415277,11640.192926320617,5945.23298395151,2.01451018163502,181,0.4122597623755686,0.9016537009837778,cluster_5
307557600208100099,,995.1167926104134,11996.246340657408,5846.402591656037,11989.00086872951,5841.880595639941,12004.135805888813,5851.048143324791,1.8065894274512644,245,0.4146057476772579,0.9547340747186256,cluster_5
307557600208100100,,694.8521844005757,11949.63560331409,5848.554863762381,11943.938789746057,5842.891711292314,11954.978671798968,5853.102100617727,1.2883196222352913,271,0.5669352719431769,0.8135136485589293,cluster_5
307557600208100101,,860.5142523236154,11941.519973959494,5851.924742057132,11934.887479532714,5843.219259542082,11946.547212983189,5857.466741761102,1.3400869139843947,354,0.5045449820875597,0.7481810582988974,cluster_5
307557600208100106,,662.0527739279069,11931.822359271708,5851.851712372832,11927.262821059296,5846.178055922621,11937.242558427011,5856.586413328134,1.0329749802521897,235,0.5350955681879755,0.8590930733933203,cluster_5
