,Anti-Rabbit_raw,Anti-Rabbit_high_pass,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass
307557600006100004,54864510.0,1670799.325789561,64490250.0,2184771.881325929,11222563.0,485672.45465110126,48653452.0,1424658.6679193103
307557600006100024,23195404.0,1746421.6636481266,7059848.0,1981806.54175779,1287310.0,361856.3352774049,20723990.0,1544251.1977821551
307557600006100034,19512593.0,241618.7858616074,24545121.0,272834.45292983454,4110870.0,89151.01570778196,17236703.0,188977.81788537622
307557600006100048,9217838.0,1167856.6502535923,1506953.0,1068745.8362071114,245329.0,174058.8271239217,8146377.0,1029045.4722349365
307557600006100053,17949326.0,216684.74477831848,22681637.0,262132.3165309644,3765787.0,80005.43696394995,15649233.0,171449.75337927017
307557600006200026,23560449.0,2559871.663507708,3746519.0,2267252.8207796374,628345.0,380652.8780052826,20805606.0,2251433.048764127
307557600006200030,29141390.0,2879432.955900685,5255862.0,2653810.377754463,903256.0,456274.398275855,25724684.0,2523811.4046404744
307557600006200034,15826465.0,189913.17538787084,20398260.0,234675.01505061076,3454278.0,77076.72013176882,14029580.0,154602.69692588985
307557600006200038,55178440.0,4131166.4511095565,15539919.0,4398071.250141821,2534633.0,715698.3225953702,48794701.0,3614536.0254159826
307557600007100007,15431740.0,421415.1772167314,18438891.0,1157765.586665488,3403563.0,236294.3649633985,14077002.0,375507.9530398253
307557600007100011,9635819.0,97932.64486497319,11253211.0,718521.6750279503,2038920.0,142656.1359110357,8705355.0,76755.03811392706
307557600007100018,15037684.0,140087.87917308407,18041498.0,887931.3930200449,3306201.0,184425.5874356127,13132229.0,115295.30143663251
307557600007100022,25970052.0,250019.70590650648,33042547.0,1476844.2836112473,5806027.0,296515.74620971613,21713065.0,202661.63311656995
307557600007100032,9327250.0,92529.55996080827,12126802.0,105175.18634393609,2212582.0,32992.088804804705,8291505.0,77417.94592934768
307557600007100033,12139256.0,109932.43523925036,16124491.0,130170.32247573374,3064496.0,46849.722780514996,10697783.0,89425.91750392536
307557600007100034,48596548.0,455363.4936854829,63724873.0,488473.07879799814,11713562.0,166983.68137262712,42937046.0,379828.554143442
307557600007100038,11023804.0,103067.02460727972,14347658.0,118197.51345147529,2788109.0,42997.38426225793,9681167.0,81537.57994933949
307557600007100048,11107648.0,106837.0206013559,14395120.0,118660.74846598048,2286241.0,32414.69135704732,9613263.0,85968.96626487376
307557600007100049,54408783.0,470276.8429360441,70152629.0,543649.3432669763,11873895.0,162014.33768004167,47447434.0,391320.9206158829
307557600007100052,80444897.0,768905.2300136033,105058350.0,911993.045823311,15762778.0,253608.53587164602,72678343.0,694026.031637131
307557600007100056,9298204.0,95218.9835471909,11821555.0,96082.62373540069,1779979.0,26892.593697505694,8431460.0,77259.276668403
307557600007100064,50573992.0,437294.8905532844,67258493.0,514217.6152973032,11503091.0,153046.9206946617,45143322.0,371458.0192772926
307557600007100070,24138639.0,223037.6599768631,32631619.0,238338.01187340036,6104357.0,87220.63063269467,21824660.0,187834.3525551783
307557600007100073,9730428.0,580103.6894031805,8672282.0,1221944.9476760398,1602598.0,233240.74352773646,8147123.0,479075.4415811215
307557600007100078,32024508.0,267920.1034984372,42074147.0,375432.1558245542,7934921.0,130698.53902350584,28263079.0,224856.8034780886
307557600007100083,205321134.0,2263829.748544928,523558114.0,3699410.463850227,212082099.0,2209657.3081518672,206063479.0,2431320.5623542196
307557600007100085,276711906.0,2429657.4274401492,2201453779.0,14965385.536299251,1235020838.0,11299173.599901736,336535001.0,2997998.642021276
307557600007100086,313673882.0,2396349.5871058037,1579558545.0,13901776.658195496,456064813.0,6394302.918110225,373629333.0,3601988.22074618
307557600007100089,40739765.0,308279.8387986256,177561744.0,2126654.400782428,37329665.0,603431.5902945293,41122764.0,389075.78911068337
307557600007100091,200283925.0,2145179.3252421925,404881207.0,3186363.554443183,157622957.0,1935545.6606613905,190746845.0,2194576.5886715925
307557600007100096,168693118.0,1253609.6758646416,739558442.0,5980292.870582295,210216313.0,2997817.550020847,205196015.0,1922126.5965747477
307557600007100097,85882026.0,1031976.4563928568,124082053.0,1563700.1669863828,24476816.0,505780.39634173317,72417610.0,911226.970210352
307557600007100098,229626334.0,1838743.1569121392,730549316.0,5647047.532803777,358336516.0,3907694.155593163,221047888.0,2083463.1703926143
307557600007100110,26979993.0,262169.8900847556,37735425.0,265648.2277639658,7505571.0,91501.97353230795,23592611.0,217314.54749343696
307557600007100111,37385349.0,284560.15173701,139035073.0,1720506.890446506,34196276.0,631437.8277191621,44610092.0,459154.211222129
307557600007100113,132622253.0,982891.396549475,486736756.0,4562692.474032589,99675631.0,1427837.4316931402,164077108.0,1693602.186764638
307557600007200009,19885557.0,201289.00874946505,24487637.0,1159180.857713062,4600612.0,249852.43822598658,18199041.0,172193.54673505406
307557600007200011,19211694.0,189164.5624002458,22765375.0,1067189.321709022,4038973.0,212854.5900638826,17213808.0,151989.65358022807
307557600007200023,29164657.0,275951.31128363864,36691566.0,1450061.492299595,6740856.0,315851.240749431,25124969.0,219091.77647064283
307557600007200026,14603863.0,141501.40949948362,18230982.0,1079378.77741248,3397836.0,220920.3794946747,12478905.0,112632.05182680422
307557600007200033,64194268.0,662074.9768313799,85594320.0,812086.9398734852,15823823.0,259031.04047782245,56386093.0,524297.4623004833
307557600007200040,39472465.0,371142.04778912064,52487204.0,414359.56528817216,9491892.0,133294.13731845538,34594660.0,305537.7810602896
307557600007200044,39493353.0,355953.01849641115,51548344.0,404631.6485441237,9287763.0,130521.44621489482,34353068.0,285180.5663130949
307557600007200075,39423740.0,378981.95828296075,52850751.0,425371.2897011659,9080867.0,131459.94507989252,35779455.0,319958.42172960023
307557600007200090,14996337.0,128394.78304280774,19812138.0,121442.32257007713,3985896.0,48931.6935905183,13497205.0,102504.16612672847
307557600007200097,273821479.0,2955255.5771054057,1317952859.0,10977341.386999067,340104838.0,4694481.550664203,326879017.0,3719172.850080044
307557600007200102,168465996.0,1830597.5417731914,415868382.0,2712816.6869502817,160232108.0,1602604.7360545464,166451836.0,1898165.8948772498
307557600007200104,183912871.0,1430770.8575686836,1032514121.0,9681865.366536172,358452108.0,5461546.897003292,211037571.0,2072745.0329722934
307557600007200109,92282187.0,688091.8763222187,326724066.0,2872833.541757709,122023545.0,2143479.9628794803,100554031.0,905773.5969684613
307557600007200111,124726495.0,952135.6202960295,438493138.0,2876098.703114776,192404199.0,2047515.8562748502,128145249.0,1100706.2245581308
307557600007200116,179032444.0,1374407.6823971607,444190255.0,3341085.1083007143,182240384.0,2098619.7579489006,168341725.0,1461799.8957870658
307557600007200117,176225454.0,1300724.42200772,761696244.0,6415460.595986972,240293153.0,4208933.540856255,216613105.0,2023656.7033422291
307557600007300007,98812561.0,781214.0150385952,349620438.0,3567519.4291630397,110680784.0,1357868.7966486986,96439627.0,905391.7694571088
307557600008100005,119179116.0,1049562.7029457737,1064621209.0,7148364.915280485,496442843.0,5690021.22056156,202737012.0,1922006.4402510533
307557600008100011,120415906.0,1178110.0536539524,772014170.0,5801335.701736027,458089032.0,5493843.182716922,143057375.0,1455987.1173696357
307557600008100013,44823212.0,389152.80404179264,324796944.0,2538052.360560327,206505145.0,2291963.7843666724,62386413.0,581705.0537568824
307557600008100018,115281832.0,1116378.023007378,772174831.0,6329780.082564664,406890923.0,5351791.94817223,148585066.0,1583125.4784407504
307557600008100020,246466631.0,2396225.218113687,1194846449.0,11748693.068375582,402442322.0,6683480.464187933,301472703.0,3357914.340061636
307557600008100022,110784705.0,950107.064132567,1206581167.0,6154840.51397648,1028407528.0,7999159.700012608,189319129.0,1444630.04810698
307557600008100024,103212062.0,895764.9451143113,1060730097.0,6060792.912118095,826585566.0,6714122.522069633,165688584.0,1374869.60593138
307557600008100028,243982072.0,2164752.022044111,1333311710.0,9111347.611775514,643467033.0,6658782.274245768,305400510.0,2873660.2389022815
307557600008100029,21202290.0,208210.44449495093,154675073.0,1111548.4054753508,61106616.0,733925.5091020187,33478418.0,309366.32494814286
307557600008100032,16720254.0,147083.42628306785,130809997.0,1412259.6131782609,80883996.0,1284738.294445829,27547426.0,266104.7276868362
307557600008100033,186398812.0,1477120.126532304,666067566.0,4049103.048524691,159434502.0,1463354.2926410888,228225048.0,1944982.2388789677
307557600008100034,105691277.0,783029.2755588659,454137941.0,3996797.383455245,237610511.0,2714140.201471856,112381050.0,916288.1566885958
307557600008100036,124510135.0,935238.7214452841,709535092.0,3238992.6793826823,455414839.0,3135116.032257614,173457652.0,1320273.9566044263
307557600008100037,278080605.0,2235053.964196861,1028250081.0,7078530.645024125,565684675.0,4862005.308582001,289625110.0,2471620.2580489228
307557600008100039,28217671.0,223803.51611259594,181708135.0,1542305.9028738157,99654239.0,1318168.9275524083,44137397.0,349518.8081241647
307557600008100040,191122972.0,1452781.2200951395,881991425.0,5724624.110873237,181861050.0,1937181.884744281,262902012.0,2363396.17063387
307557600008100041,331924799.0,2769172.029684903,1489356652.0,8550882.076227585,745885321.0,4980350.3186006425,394384032.0,3329057.5247374927
307557600008100046,31352594.0,219772.3515227306,252363305.0,1173685.427807416,159874051.0,1328717.1236950187,57365780.0,421498.11547306716
307557600008100048,39230092.0,289303.42961448914,216348264.0,1874254.2857420375,56134029.0,647129.0907260004,49498397.0,418895.20906788704
307557600008100052,21538081.0,152669.95660651117,126633853.0,648515.943798334,59738319.0,475160.9690561525,32919567.0,262446.9058894255
307557600008100053,68873356.0,534604.7795453024,377093652.0,4367580.580818521,123975288.0,1898682.6652164757,85775532.0,833339.7648763957
307557600008100057,44403719.0,339212.19654124876,400103147.0,1989624.713345561,230448729.0,2064314.104331896,78689260.0,569244.3046441284
307557600008100058,71085866.0,594748.0372921037,633507963.0,2468282.533960734,372995262.0,2010665.9795290215,129139948.0,1022800.0439406455
307557600008100059,146538374.0,1155095.0453971652,802152278.0,4851070.51012749,268799634.0,2334797.571995352,192257644.0,1740497.8721376727
307557600008100063,58022058.0,499797.16987106885,548691755.0,2120563.1718690633,295491673.0,1587764.856138568,106213892.0,820935.5560449592
