,fov,volume,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_10_genes,pct_counts_in_top_50_genes,pct_counts_in_top_70_genes,pct_counts_in_top_90_genes,n_counts,clusters,cell type
3068241300076100162,,1163.9240085514316,4985.183920135558,10880.610223276826,5001.248451673691,10894.89689924973,1.0194957747908804,369,0.4610215001364492,0.7685971873630955,33,3.526360524616161,299.0,5.7037826,87.29096989966555,100.0,100.0,100.0,299.0,3,CM
3068241300076100164,,722.6029283071848,4977.869507336838,10888.344552634857,4986.710565314048,10899.859101575566,1.6235046160287971,260,0.4849835380934496,0.9419148856641898,32,3.4965075614664802,145.0,4.983607,73.79310344827587,100.0,100.0,100.0,145.0,0,LPM-2
3068241300076100168,,383.1419406863898,4998.965093972262,10892.8803312132,5006.632988686741,10898.957044976984,1.2609333061380463,142,0.6170076083680301,1.0,37,3.6375861597263857,75.0,4.3307333,50.66666666666667,100.0,100.0,100.0,75.0,0,LPM-2
3068241300076100175,,608.4700963862383,4976.89380512258,10899.017335820214,4985.550886261752,10907.541780013436,1.0166200799550522,107,0.5009595653846707,0.95409411966345,27,3.332204510175204,45.0,3.8286414,57.77777777777777,100.0,100.0,100.0,45.0,0,LPM-2
3068241300076100176,,1234.1644971123824,4953.632810929321,10901.458638085052,4965.980082524654,10915.63376225354,1.0200933330287243,365,0.34141237535897,0.9867606322899526,49,3.912023005428146,207.0,5.3375382,68.11594202898551,100.0,100.0,100.0,207.0,0,LPM-2
3068241300076200013,,931.704720903296,5178.392432201373,10670.849166147327,5188.7942104375,10684.814533976773,1.161863353383066,412,0.4424370921646505,0.913270385710289,56,4.04305126783455,202.0,5.313206,43.06930693069307,97.02970297029702,100.0,100.0,202.0,0,LPM-2
3068241300076200015,,765.8830770601473,5165.54441264552,10679.502277415157,5173.687192626599,10692.410500196413,1.8088648385834,273,0.4708251667929862,0.9555598647342032,31,3.4657359027997265,228.0,5.433722,84.21052631578947,100.0,100.0,100.0,228.0,3,CM
3068241300076200016,,513.6118431410271,5174.616192170104,10682.182616776292,5183.266781703808,10691.378472929537,1.646479690917941,148,0.5623871259862816,0.9683027273991698,38,3.6635616461296463,97.0,4.5849676,59.79381443298969,100.0,100.0,100.0,97.0,0,LPM-2
3068241300076200024,,2335.566910031498,5139.507605894982,10701.934397381028,5165.740796781151,10718.252083461908,1.783271069628173,1050,0.347280457795836,0.7612890185632661,69,4.2484952420493585,741.0,6.6093493,66.12685560053981,97.43589743589743,100.0,100.0,741.0,2,CM
3068241300076200026,,512.9602348991407,5119.849509357202,10705.8211387944,5128.169698243331,10716.067127170463,2.1537693009621743,54,0.5762821808934303,0.9752888099993732,19,2.995732273553991,30.0,3.4339871,70.0,100.0,100.0,100.0,30.0,4,LPM-3
3068241300076200028,,2177.8538059557573,5125.067600179389,10707.961451219762,5142.533349157256,10725.347051419183,1.1823769408818028,812,0.2628789540156372,0.9777627924607636,65,4.189654742026425,472.0,6.1590953,50.847457627118644,96.82203389830508,100.0,100.0,472.0,4,LPM-3
3068241300076200035,,895.7633764736232,5132.483308016759,10723.477931133648,5144.524251989914,10736.219615229124,1.3384983420423149,167,0.4929643528962462,0.8580757788457891,29,3.4011973816621555,70.0,4.26268,64.28571428571429,100.0,100.0,100.0,70.0,1,LPM-1
3068241300076200041,,1637.6154612083778,5111.138268447995,10739.4016107946,5124.954019137964,10756.673144919452,1.4872034668729193,61,0.3346347366319392,0.9316480195035254,21,3.0910424533583156,34.0,3.5553482,67.64705882352942,100.0,100.0,100.0,34.0,1,LPM-1
3068241300076200120,,1132.331432616989,5024.25419760965,10833.34209813908,5035.748187145815,10847.095497279266,1.250541589462226,315,0.375130161557674,0.955303617451126,40,3.7135720667043075,143.0,4.9698133,60.83916083916085,100.0,100.0,100.0,143.0,1,LPM-1
3068241300076200140,,1168.352164254225,5004.271617850332,10853.766580776131,5016.870164862727,10868.427309942275,1.3755423086555054,540,0.3913661475412069,0.9160449608886722,43,3.784189633918261,429.0,6.063785,78.78787878787878,100.0,100.0,100.0,429.0,3,CM
3068241300076200144,,2002.474234586704,5014.34808723578,10856.810092042557,5028.216285489418,10875.687746034471,1.2738485986368615,659,0.2954369769470722,0.9304264358027844,59,4.0943445622221,383.0,5.9506426,51.43603133159269,97.65013054830287,100.0,100.0,383.0,2,CM
3068241300076200149,,1224.360972316496,4999.77585281515,10864.543259052109,5012.932744174292,10877.407275709946,1.101948115633088,422,0.3541325971690564,0.952547229581262,38,3.6635616461296463,343.0,5.8406415,78.4256559766764,100.0,100.0,100.0,343.0,3,CM
3068241300076200153,,1662.8720035660674,5000.297449921378,10877.430861020115,5018.768646966733,10894.956030341831,1.874487265742734,485,0.3630199006211509,0.8678645626201561,54,4.007333185232471,239.0,5.480639,51.46443514644351,98.32635983263597,100.0,100.0,239.0,2,CM
3068241300076200157,,696.9910978616476,4968.521695893897,10890.102592603802,4977.897011855046,10900.682933526425,1.043620028587971,212,0.4683906396521439,0.967077692463059,38,3.6635616461296463,128.0,4.8598123,69.53125,100.0,100.0,100.0,128.0,3,CM
3068241300076200159,,1113.9701271314436,4984.324058549824,10893.398100628983,4996.44313930206,10905.397224992364,1.1734768231112809,368,0.3943684314887549,0.9153593482144332,45,3.828641396489095,184.0,5.220356,59.2391304347826,100.0,100.0,100.0,184.0,0,LPM-2
3068241300076200161,,2573.304556149439,4956.899980121793,10896.28770076148,4981.829091198621,10918.873604095214,1.480566150794821,1036,0.3444768670282113,0.7018309738965195,67,4.219507705176107,512.0,6.240276,48.4375,95.8984375,100.0,100.0,512.0,0,LPM-2
3068241300085100098,,1058.8824274310844,5183.687491713078,11032.509130336472,5200.75155699093,11045.443425376636,2.7539475573235355,365,0.4551688129599922,0.918134644309246,43,3.784189633918261,130.0,4.8751974,59.23076923076923,100.0,100.0,100.0,130.0,1,LPM-1
3068241300085100104,,1828.7067242449696,5058.256606111087,11038.667562812325,5083.7827769979895,11050.742789415452,2.499851152025231,883,0.3713383700455773,0.8521521161028348,73,4.304065093204169,389.0,5.966147,49.10025706940874,93.573264781491,99.22879177377892,100.0,389.0,1,LPM-1
