cell,eef2b,gata5,tbx1,spi1b,aplnra,prdm1a,meis3,stmn1a,yrk,her6,fn1b,tbx16,meox1,hand2,mef2cb,cldnb,dla,otx2b,tnnc1a,cfl1l,cldn7b,zic2a,fstl1a,bmp6,cd9b,nova2,nkx2.5,krt18a.1,myl7,dusp5,hes6,sparc,pdlim1,tal1,serpinh1b,bmp4,jdp2b,efnb2a,tnnt2a,mdkb,ptmaa,rbfox1l,nkx2.7,cdh11,ccn1,fabp3,btg1,lsp1a,angptl7,ttn.2,foxd1,hoxb3a,atp2a2a,sox7,twist1a,podxl,fthl27,rarga,mdka,cdx4,cxcl12a,gdf3,rac2,fzd8b,marcksl1a,sfrp5,fibina,fli1b,epcam,hspb1,smtnl1,fhl2a,foxl2a,actc1a,blf,loxl2a,emp2,egfl6,rasl11a,fermt1,fsta,plpp1a,aldh1a2,sox3,etv2,hoxb1b,her15.1,fli1a,cxcl12b,bambia,akap12b,hoxb9a,cyp26c1,hoxb7a,rbms2b,her9,irx1b,tmem88a,kirrel1b,ackr3b,krt8,rdh10a,colec12,ndnf,lmx1bb,pitx3,rspo3,pdgfra,hey1,msgn1,met,thbs2b,cdh5,twist1b,kazald2,myh7,cthrc1a,pfn1,apoc1,tnfaip6,apela,nrp2a,meis2a,elmo1,cnn3a,vox,irx3a,cdc42ep4a,rbm24a,nid1b,clec14a,pltp,foxi1,Blank-0,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37,Blank-38,Blank-39,Blank-40,Blank-41,Blank-42,Blank-43,Blank-44,Blank-45,Blank-46
3071341200010100003,80,5,0,1,1,0,4,0,0,2,18,1,0,10,0,1,0,1,1,7,1,2,4,0,0,0,0,10,0,1,0,0,1,0,5,2,0,5,0,2,1,0,0,0,0,1,0,13,0,2,0,0,0,0,2,0,0,0,1,12,15,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,10,1,1,0,2,0,0,0,0,11,0,0,4,0,11,4,0,0,3,0,0,1,0,0,7,8,7,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,3,0,1,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3071341200010100006,117,0,0,0,0,0,3,0,1,2,20,1,7,0,0,0,0,0,1,5,4,1,2,1,0,0,1,37,2,0,1,5,0,0,8,1,1,23,0,0,2,3,0,0,2,5,4,5,24,3,0,2,1,0,1,1,0,0,14,4,0,0,1,0,5,0,0,1,1,1,2,1,1,0,1,0,42,0,5,0,5,1,10,0,0,5,0,0,4,1,11,2,0,0,6,3,0,0,1,0,28,127,3,0,0,0,0,3,0,0,1,0,0,1,0,0,3,4,3,0,1,3,2,2,8,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3071341200010100009,87,0,0,3,4,1,1,0,0,2,7,1,2,0,1,7,0,2,0,19,5,1,3,1,1,1,0,63,0,0,1,5,4,0,14,0,0,13,0,0,1,7,0,0,5,1,3,7,3,5,1,0,1,1,0,2,0,1,12,3,7,0,0,0,11,0,0,1,10,1,0,1,1,0,0,0,69,0,0,4,2,1,2,2,1,5,2,1,0,0,33,8,0,0,18,2,1,1,0,2,59,13,6,0,1,0,1,0,1,0,0,1,0,0,0,0,0,21,2,0,0,2,3,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,3,0,1,1,0,1,1,0,0,0,1,0,0,0
3071341200010100010,95,0,0,1,1,0,10,0,0,0,50,3,10,2,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,1,1,0,1,0,8,0,0,24,0,0,0,7,0,1,1,3,3,6,26,3,0,4,0,0,0,2,1,0,14,2,2,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,24,0,8,0,1,2,20,0,0,3,1,2,7,1,16,8,0,1,5,1,0,0,2,0,1,83,3,0,1,0,0,12,0,0,0,0,2,0,2,0,0,1,3,0,0,5,3,1,7,0,2,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3071341200010100012,89,19,0,1,1,0,8,0,2,2,18,0,1,15,0,0,0,0,1,0,0,0,3,4,2,0,0,10,0,0,0,0,1,0,2,4,0,1,0,0,1,3,0,1,3,1,3,37,2,0,0,3,0,0,0,0,0,0,1,11,12,1,1,0,4,0,0,0,0,4,0,0,0,0,1,0,6,0,0,2,1,2,0,1,0,18,0,0,5,1,27,13,0,1,9,0,0,0,1,0,8,4,4,0,1,0,0,7,1,1,0,2,1,0,0,0,0,3,6,1,0,2,3,1,7,3,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3071341200010100013,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3071341200010100016,45,4,0,0,1,0,7,0,0,0,10,2,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,1,1,0,4,4,0,1,0,0,0,0,0,1,1,1,0,4,9,0,0,1,0,0,2,0,0,0,5,2,5,0,1,0,9,2,0,0,0,3,0,0,0,0,0,0,15,1,0,0,0,0,7,0,0,4,0,0,1,0,12,3,0,1,5,0,0,0,1,0,5,31,2,1,0,0,0,5,0,0,0,1,2,0,0,0,1,1,2,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3071341200010100018,43,0,0,1,0,0,6,0,0,1,31,1,4,0,1,1,1,1,0,1,2,0,3,0,0,0,1,22,0,0,2,4,0,0,22,0,1,0,1,0,0,8,0,0,3,6,4,3,21,2,1,0,0,0,1,1,2,0,15,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,0,0,40,0,2,0,1,1,6,0,1,6,0,1,0,0,12,6,0,0,1,2,0,1,0,3,12,7,9,0,0,0,0,1,2,0,1,1,0,0,1,0,2,1,2,0,2,0,3,1,4,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3071341200010100020,22,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,34,0,0,0,0,1,0,3,0,1,0,1,0,2,5,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,1,0,0,0,0,6,2,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3071341200010100023,23,7,0,1,0,8,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,2,5,0,2,15,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,27,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,13,0,0,0,0,1,0,4,0,0,2,0,6,0,1,0,22,0,0,0,0,4,0,0,0,0,6,0,0,0,0,39,0,3,0,1,1,0,1,0,0,2,0,0,0,1,0,0,1,31,0,1,0,0,0,6,0,0,0,5,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
