,x_shift,y_shift,cluster
0,-2770.8536182077437,-5269.455694172305,cluster_5
1,-2787.583860897249,-5298.227193853585,cluster_5
2,-2805.803626673646,-5329.560271021524,cluster_5
3,-2782.845780441584,-5290.07897491558,cluster_5
4,-2778.2842595633515,-5282.234390773561,cluster_5
5,-2805.9011876024706,-5329.728049474275,cluster_5
6,-2784.79924956468,-5293.43841430302,cluster_5
7,-2805.1966310160865,-5328.516402400362,cluster_5
8,-2825.1945054529365,-5362.90734631339,cluster_5
9,-2780.4161635567543,-5285.900689954337,cluster_5
10,-2792.9450545910063,-5307.446999298965,cluster_5
11,-2803.5605265088634,-5325.702744452791,cluster_5
12,-2829.8418488354328,-5370.899521987696,cluster_5
13,-2837.629810770611,-5384.292713496889,cluster_5
14,-2799.0517885239915,-5317.9489326341445,cluster_5
15,-2839.074071713064,-5386.776452317457,cluster_5
16,-2836.2578661644193,-5381.933339246773,cluster_5
17,-2817.971200368603,-5350.485212110754,cluster_5
18,-2811.327125356365,-5339.059197219953,cluster_5
19,-2802.223662065303,-5323.403698609545,cluster_5
20,-2847.17745405026,-5400.7120817436935,cluster_5
21,-2822.015694613097,-5357.440650057832,cluster_5
22,-2814.523186245345,-5344.555558901922,cluster_5
23,-2849.785017543956,-5405.196386820442,cluster_5
24,-2848.499084177477,-5402.984928676622,cluster_5
25,-2857.2527316883534,-5418.038838607481,cluster_5
26,-2856.4344654407582,-5416.63164162183,cluster_5
27,-2790.4640217982155,-5303.180292860104,cluster_5
28,-2762.7325210654735,-5255.489600064951,cluster_5
29,-2779.168357657216,-5283.754800757918,cluster_5
30,-2769.791869192067,-5267.62977257433,cluster_5
31,-2819.910464736131,-5353.820223154393,cluster_5
32,-2800.1669156477374,-5319.866650164062,cluster_5
33,-2795.7994229279434,-5312.355742060237,cluster_5
34,-2815.783189549041,-5346.72242433977,cluster_5
35,-2794.0169811134306,-5309.290423460267,cluster_5
36,-2813.2520081370167,-5342.36947581769,cluster_5
37,-2822.182912881294,-5357.72822032441,cluster_5
38,-2786.7561099395984,-5296.803685727839,cluster_5
39,-2811.4167684996505,-5339.213359219652,cluster_5
40,-2814.837705104359,-5345.096446408446,cluster_5
41,-2808.2754140449233,-5333.811077831967,cluster_5
42,-2828.32205368606,-5368.285884728075,cluster_5
43,-2825.5921951885875,-5363.591265268715,cluster_5
44,-2789.891583818363,-5302.195854112828,cluster_5
45,-2851.204550402502,-5407.63760001413,cluster_5
46,-2811.1750091903327,-5338.797598491008,cluster_5
47,-2833.771974587971,-5377.658277012061,cluster_5
48,-2818.9801404939712,-5352.220316677628,cluster_5
49,-2809.136293341605,-5335.291557755048,cluster_5
50,-2799.857944315121,-5319.335302904918,cluster_5
51,-2807.335991290361,-5332.1955243707835,cluster_5
52,-2845.564558863595,-5397.938337560162,cluster_5
53,-2841.86094070443,-5391.569114431508,cluster_5
54,-2824.3251820742184,-5361.4123448494,cluster_5
55,-2808.855025272842,-5334.807852628891,cluster_5
56,-2828.569253760613,-5368.711002103728,cluster_5
57,-2815.0078400067882,-5345.389032498312,cluster_5
58,-2837.4620607081542,-5384.004228687786,cluster_5
59,-2816.4301330393305,-5347.834992445932,cluster_5
60,-2858.0542070241245,-5419.417159758922,cluster_5
61,-2838.5397524690147,-5385.857567502385,cluster_5
62,-2863.5408210303904,-5428.85265427399,cluster_5
63,-2823.891860318685,-5360.667148441757,cluster_5
64,-2865.4127345255333,-5432.071840004193,cluster_5
65,-2822.1875816039797,-5357.736249266713,cluster_5
66,-2854.610249262894,-5413.494482397418,cluster_5
67,-2861.4887940708763,-5425.32372202194,cluster_5
68,-2841.433295602126,-5390.8336803345255,cluster_5
69,-2849.3313161620517,-5404.416142958646,cluster_5
70,-2849.8686395696923,-5405.340194123867,cluster_5
71,-2863.7728093681817,-5429.25161157011,cluster_5
72,-2864.255165161293,-5430.081133281499,cluster_5
73,-2869.0182025761997,-5438.272271450158,cluster_5
74,-2875.570910975277,-5449.541160438472,cluster_5
75,-2870.2787393142444,-5440.440054251039,cluster_5
76,-2846.2237253772773,-5399.071925965919,cluster_5
77,-2596.785091993713,-4970.104833611887,cluster_0
78,-2599.1373723031834,-4974.150120547065,cluster_5
79,-2615.1383297976095,-5001.667446625058,cluster_0
80,-2613.879216378256,-4999.502111547979,cluster_5
81,-2621.904233993504,-5013.302974813652,cluster_0
82,-2649.6187069730277,-5060.964384471351,cluster_5
83,-2652.8872283191326,-5066.585358572743,cluster_1
84,-2661.979733430254,-5082.222012072742,cluster_5
85,-2676.325288819878,-5106.892493546347,cluster_5
86,-2675.3726201635363,-5105.254160710955,cluster_5
87,-2677.812491458654,-5109.450080488848,cluster_5
88,-2691.163137326088,-5132.409586244297,cluster_5
89,-2684.2517852513,-5120.5239269799695,cluster_5
90,-2700.71512018455,-5148.836417394824,cluster_5
91,-2692.5300816103063,-5134.760361290877,cluster_5
92,-2684.0946922389135,-5120.253769419215,cluster_5
93,-2693.2054399167855,-5135.921795207901,cluster_5
94,-2708.973080262973,-5163.037878794628,cluster_5
95,-2715.973300076787,-5175.076366572717,cluster_5
96,-2721.0556880666436,-5183.816701494578,cluster_5
97,-2727.312874927076,-5194.577373237468,cluster_5
98,-2727.50744952108,-5194.911988997279,cluster_5
99,-2739.206316896609,-5215.030881784024,cluster_5
100,-2730.4155276289516,-5199.913098061062,cluster_5
101,-2738.6967061907417,-5214.154488982464,cluster_5
102,-2737.4361120713215,-5211.9866075011105,cluster_5
103,-2759.1164644558835,-5249.270959156916,cluster_5
104,-2756.686183568038,-5245.091532289789,cluster_5
105,-2766.767892973283,-5262.429350056278,cluster_5
106,-2751.5693496623744,-5236.291959694329,cluster_5
107,-2765.175181028132,-5259.690315597978,cluster_5
108,-2771.932776984995,-5271.31155585895,cluster_5
109,-2764.2517812311376,-5258.102317297057,cluster_5
110,-2782.2514489740306,-5289.056885281458,cluster_5
111,-2774.112600432996,-5275.060263561722,cluster_5
112,-2786.1468318259217,-5295.755891898496,cluster_5
113,-2793.104020945702,-5307.720378502622,cluster_5
114,-2605.555663376723,-4985.187848032785,cluster_0
115,-2618.025372741316,-5006.632380886699,cluster_0
116,-2628.271013251674,-5024.252115886909,cluster_0
117,-2637.864015552541,-5040.749489401704,cluster_0
118,-2647.687078307092,-5057.642504772548,cluster_5
119,-2656.7437403460035,-5073.217517867215,cluster_5
120,-2670.4399827040556,-5096.771356263513,cluster_4
121,-2664.9234231787013,-5087.284363541939,cluster_5
122,-2668.010987360585,-5092.594140185569,cluster_5
123,-2680.8456647826283,-5114.666319544288,cluster_5
124,-2693.78018338403,-5136.910198770929,cluster_5
125,-2702.8766927782826,-5152.553738556618,cluster_5
126,-2705.6007775138955,-5157.238428704695,cluster_5
127,-2714.8157627641313,-5173.085714970093,cluster_5
128,-2733.0267412656863,-5204.403680398173,cluster_5
129,-2726.3662970499786,-5192.949514897655,cluster_5
130,-2726.0815313329267,-5192.459794760926,cluster_5
131,-2727.5844699110858,-5195.044443269918,cluster_5
132,-2758.6345130139907,-5248.4421328204335,cluster_5
133,-2760.0764146751058,-5250.921814314189,cluster_5
134,-2770.4694355253473,-5268.795003701205,cluster_5
135,-2771.7660321733065,-5271.024799809717,cluster_5
136,-2785.96121396072,-5295.436679293599,cluster_5
137,-2737.866025053416,-5212.725941738926,cluster_5
138,-2741.5997147316034,-5219.146879759948,cluster_5
139,-2747.545770087121,-5229.372489330661,cluster_5
140,-2741.1456473475146,-5218.366006473227,cluster_5
141,-2773.396876165516,-5273.829411091985,cluster_5
142,-2696.8157173545965,-5142.130497501053,cluster_5
143,-2684.8576569695424,-5121.5658627290095,cluster_2
144,-2690.432815505498,-5131.1536299250565,cluster_2
145,-2727.2716744636155,-5194.506519565867,cluster_5
146,-2712.0175002841265,-5168.2734591322205,cluster_5
147,-2713.258864100666,-5170.408269685467,cluster_5
148,-2721.4809133425683,-5184.547974143625,cluster_5
149,-2742.9798080032497,-5221.520267514223,cluster_5
150,-2720.710735371055,-5183.223476007335,cluster_5
151,-2739.080153439693,-5214.813914706629,cluster_5
152,-2734.0262450064274,-5206.122556931638,cluster_5
153,-2743.3065948610933,-5222.082252665949,cluster_5
154,-2754.2391489596394,-5240.8832935473965,cluster_5
155,-2731.39515491127,-5201.597792453372,cluster_5
156,-2767.2902818058383,-5263.327717785205,cluster_5
157,-2762.682768105511,-5255.404038408838,cluster_5
158,-2778.979952589785,-5283.430794917827,cluster_5
159,-2778.704115360944,-5282.95642936982,cluster_5
160,-2773.6840427785455,-5274.3232601214695,cluster_5
161,-2771.730164186841,-5270.963116558594,cluster_5
162,-2767.4706288204843,-5263.63786595046,cluster_5
163,-2784.6035071872675,-5293.101790271088,cluster_5
164,-2780.0309142351884,-5285.238165151896,cluster_5
165,-2791.474127948491,-5304.91740267495,cluster_5
166,-2809.926383706587,-5336.650299831068,cluster_2
167,-2804.5266447733957,-5327.364206982411,cluster_2
168,-2772.76547912357,-5272.7435786788965,cluster_5
169,-2778.258465037835,-5282.190031155086,cluster_5
170,-2786.55153416924,-5296.451870645361,cluster_5
171,-2769.591988597381,-5267.286031926148,cluster_5
172,-2812.115977393601,-5340.415809706641,cluster_2
173,-2794.5545836989763,-5310.214954736098,cluster_5
