,x_shift,y_shift,cluster
0,-4732.304553521627,-8538.659225382795,cluster_5
1,-4715.832308992043,-8582.681943245969,cluster_5
2,-4724.987843504216,-8558.21341911788,cluster_5
3,-4722.63955895518,-8564.489301434885,cluster_5
4,-4708.374934348015,-8602.612068698174,cluster_5
5,-4709.047196335022,-8600.815422240494,cluster_5
6,-4714.370159951164,-8586.58959375376,cluster_5
7,-4709.6916972061,-8599.092968451085,cluster_5
8,-4711.138366582876,-8595.226687951135,cluster_5
9,-4698.883379051706,-8627.978621516262,cluster_5
10,-4707.552690999935,-8604.809546210263,cluster_5
11,-4692.472082752162,-8645.113061672557,cluster_5
12,-4704.170182502143,-8613.849432486883,cluster_5
13,-4685.394390837704,-8664.028470177636,cluster_5
14,-4684.733741949346,-8665.794080174901,cluster_5
15,-4685.323290296627,-8664.21848915496,cluster_5
16,-4695.989928921042,-8635.711480175845,cluster_5
17,-4688.332274027071,-8656.176862430544,cluster_5
18,-4684.005904300922,-8667.739254761716,cluster_5
19,-4669.784717291197,-8705.745933346665,cluster_5
20,-4658.843320799702,-8734.987243473475,cluster_5
21,-4675.095108050065,-8691.55370631282,cluster_5
22,-4670.893394172289,-8702.782951012954,cluster_5
23,-4663.095462871743,-8723.62322745153,cluster_5
24,-4663.29001950468,-8723.103267239381,cluster_5
25,-4669.367952209269,-8706.859754331048,cluster_5
26,-4658.457458568648,-8736.018475380046,cluster_5
27,-4643.794517902127,-8775.205757893207,cluster_5
28,-4651.708480704657,-8754.055382726683,cluster_5
29,-4672.033407560998,-8699.73622063682,cluster_5
30,-4643.8985849439105,-8774.92763465317,cluster_5
31,-4645.506248538834,-8770.631090807481,cluster_5
32,-4646.659611739027,-8767.548682537945,cluster_5
33,-4639.288589910287,-8787.248026713363,cluster_5
34,-4642.026726078319,-8779.930250694451,cluster_5
35,-4629.249896740364,-8814.076826901506,cluster_5
36,-4634.998645399527,-8798.713071231532,cluster_5
37,-4639.026675326757,-8787.948003683367,cluster_5
38,-4640.382178399394,-8784.325368697453,cluster_5
39,-4626.373748299156,-8821.763446119216,cluster_5
40,-4623.516046714635,-8829.40076539083,cluster_5
41,-4634.269601432886,-8800.66146975097,cluster_5
42,-4618.873786683358,-8841.807386919389,cluster_5
43,-4628.366460672395,-8816.437844351225,cluster_5
44,-4628.393893396938,-8816.364529321776,cluster_5
45,-4627.629302020705,-8818.407929683886,cluster_5
46,-4618.911921858929,-8841.70546917091,cluster_5
47,-4621.927369834236,-8833.646566499232,cluster_5
48,-4617.59086054515,-8845.236057208991,cluster_5
49,-4611.98690578553,-8860.212845518416,cluster_5
50,-4616.290165390185,-8848.712215890955,cluster_5
51,-4612.003083479297,-8860.16960999899,cluster_5
52,-4634.1637052239275,-8800.944481511837,cluster_5
53,-4607.945491144384,-8871.013684238107,cluster_5
54,-4614.005916406928,-8854.81696065349,cluster_5
