EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity
3068576400121200298,,2796.345854001374,1325.719396549688,9553.809947881457,1313.1094047815911,9545.506959044553,1337.1927681670152,9562.778856057606,1.572388129474289,351,0.2657937309161981,0.912011782946249
3068576400097100060,,1930.1845915783188,1873.521909541518,8798.060657919877,1862.8493552274929,8792.612043025782,1885.5190859457607,8804.639936359217,1.870632772123448,0,0.3255086200290356,0.8778903744678301
3068576400097100072,,1563.5819154686797,1890.7648633164213,8815.6853548942,1881.2561176566385,8810.318655036834,1899.0006588388292,8821.811458899396,1.5485902611768452,1,0.332022271171759,0.9277535803193117
3068576400148200031,,1832.9267583480769,1654.6895637226305,10008.302776031229,1647.5177706407126,10000.520336594816,1661.9378665625402,10016.240034680312,1.0537252066107154,0,0.2728547002717954,0.9942646233179208
3068576400168100052,,7487.884315079163,3377.4343671776446,10204.993777521457,3363.773911462927,10188.596073166802,3392.360563124633,10221.784154935052,1.1593447535756056,1,0.1489679453712694,0.9342965646061808
3068576400097200049,,1437.546911524595,1889.3298076563249,8805.751563635247,1878.2002713939285,8800.975660981778,1898.3115760267929,8811.227753182808,2.111782721228155,0,0.3832143612108751,0.8887642047377908
3068576400191100075,,6180.828492816724,2607.073843494492,10630.966647000643,2589.999935793487,10619.220726816844,2621.636186896668,10646.847021575386,1.3919078102607103,0,0.185835015409091,0.8633638118631993
3068576400048200057,,4989.015182610666,2620.3169335839607,7782.096140268624,2608.892392921596,7768.828436370488,2631.767839177029,7797.327538346776,1.445921229376244,0,0.1893033399792929,0.9399267889992602
3068576400032200016,,2462.666969575324,1707.7588206104188,7553.705411237285,1699.055229402332,7544.996419373512,1716.2672126219452,7562.770397182498,1.033238695846758,1,0.2343187731631162,0.9978464854575848
3068576400021200071,,3591.022046800805,2408.3771002276867,7184.088852391854,2396.8974230098797,7175.95062714853,2421.725815953108,7194.716665197615,1.3985574454236451,0,0.2222332154222163,0.9342749922155136
3068576400082100058,,3415.693245154664,1355.0139725938525,8697.191318442674,1346.506583329946,8685.534493597575,1363.9239588235846,8708.84659992434,1.3746640636397751,97,0.2039491724778322,0.9891561283412724
3068576400088100062,,6950.359600280802,3004.565922003635,8538.980425331154,2987.7369112461174,8525.494931905469,3019.069761712455,8552.15057964487,1.1760286480689643,0,0.1541316876621177,0.9574607950293904
3068576400088200047,,6784.674634634715,3004.334764835471,8495.200390408601,2987.263430030186,8482.73434526256,3019.0159132611307,8508.068903225902,1.3984420369916604,1,0.157243184518864,0.960053102281391
3068576400054200129,,4011.816596569138,666.5530159313465,8141.024764915915,649.9642130438285,8131.312116673021,683.9767539707498,8151.023897627484,2.037474078826725,449,0.2470287234079716,0.8624133072406838
3068576400167200064,,4997.391365241145,3221.3635915831046,10205.604747752048,3212.5954598217986,10189.626884555011,3235.865102717796,10221.981144028863,1.417441593267092,1,0.2444487010326957,0.7434498469821958
3068576400097200047,,804.1017728045649,1875.9109838115317,8806.529948430443,1869.2869774248784,8800.438910121955,1882.7278227475863,8813.479817830706,1.971514472745609,0,0.5217618143045,0.882722857815525
3068576400120200062,,4779.527768542892,1024.784014099105,9380.897298199254,1006.8092763393956,9367.014240139357,1047.7556019848394,9392.917551390738,2.2202110068201737,701,0.2380774854419818,0.7549281431481791
3068576400155100060,,4436.503546101863,3210.6202510878056,10009.218296112129,3200.4559285209425,9994.780963532934,3220.810500233078,10023.320507993138,1.5842383171810828,0,0.2039813932615777,0.921810419162784
3068576400020100236,,5373.3761884629,1962.3452971584943,7232.59234889153,1947.3027113710864,7221.310080801551,1977.634975526508,7244.286761303628,1.422242865137599,0,0.1767013507036002,0.9381812660544896
3068576400091100050,,3294.830267650717,16.055260429277737,8865.661959978075,5.461273356901764,8856.702111489521,26.978133921312107,8876.465561960293,1.068452776332408,62,0.2096620898445653,0.9819704711822856
3068576400055200098,,3138.6596089415893,976.684031461454,8048.366770058849,967.9669212501058,8036.254943787439,987.2242732985538,8060.548248809106,1.716907235795919,1025,0.2508103112831445,0.8794371977117993
3068576400168100130,,2404.5521587888475,3212.015001049535,10229.55565507673,3200.3497703287185,10220.06269950029,3219.730517692818,10238.838362568498,1.0247093974890924,0,0.3555531820361302,0.7013469472305902
3068576400061100260,,4607.0482460069,2698.473720415582,8064.340763090957,2684.496773481196,8053.913712635644,2712.7108671738506,8075.843628757439,1.19076678887242,15,0.1836568347208888,0.9530986301528082
3068576400008100028,,3515.430222874277,2383.103617147936,6798.573652779792,2371.2127689599024,6786.101520695368,2396.2197627865444,6809.481991161964,1.5471135749525076,0,0.251051944108521,0.8313387286872
3068576400167200191,,4345.029623395627,3207.587825452277,10406.25039919012,3195.3496305259027,10394.028569890128,3219.298524676714,10417.798704686133,1.0733389814520546,0,0.1846393086915837,0.9678085740159038
3068576400030200026,,2647.0771400749186,1226.9501174193636,7471.655993579895,1217.0108950341294,7463.461894945156,1238.6393408001716,7480.3663516106335,1.3007206420425876,76,0.2424267421325099,0.961578158619833
3068576400081100170,,5378.271427867212,1086.7795853742955,8750.62902988115,1066.7829218922575,8741.691806088433,1109.0068592895109,8759.484925206201,2.599254982027426,1485,0.2057123842966248,0.8994449592019603
3068576400060200432,,1664.0784349947369,2420.6072648122085,8193.961818205704,2412.0593258895938,8186.5121556268,2428.6304898609487,8199.430886487855,1.2765167299868714,119,0.3144045291741917,0.9602220723303584
3068576400042100020,,5517.545938507253,954.9698822693988,7833.292402577332,942.7825765013058,7818.228822056834,969.2988395066544,7849.298499941562,1.0671808505832328,39,0.1709404111247113,0.931799174996936
3068576400003100167,,4972.016681089931,1006.0300963541524,6935.233030175756,995.9332686317268,6920.042370686808,1017.7711173035192,6949.258049802274,1.427664533606076,1,0.1940104988853603,0.8919723760878312
3068576400088100094,,3890.1797897696783,3004.942546248461,8586.787078933492,2988.2300111184604,8578.314896092706,3018.846142591457,8595.665746955176,1.8335060654993167,0,0.2457410077056396,0.8546738045707003
3068576400048200052,,3809.739302714164,2597.221649623385,7754.040060892914,2582.1973573538016,7746.176322857992,2609.7501876280157,7762.344999376854,1.725627374243047,0,0.2169978869706081,0.9496661783082974
3068576400001100043,,2456.066424019362,448.38434384756,6963.456307739018,439.01296430347,6954.678003323258,460.01917915365306,6971.931280717883,1.1932323240147007,3,0.2689940218419402,0.949517432476918
3068576400048100092,,724.9811514131094,2609.551349630569,7789.659812590658,2607.3860201066104,7777.22180427694,2611.2627517687893,7800.351454265801,5.96627571996092,0,0.7238230998141562,0.9132543420111192
3068576400135100030,,3165.4658682114014,1580.3159693441935,9798.401281249082,1573.1839364000032,9785.0519211544,1586.90491507328,9812.340407632317,2.007172857285598,11,0.2260677768174821,0.9834346482830364
3068576400148200043,,5230.157333515086,1420.5542871629402,10054.123951083297,1407.3038186279932,10042.408765262842,1436.455724602075,10069.77386095955,1.0408262791891048,69,0.1773604102899708,0.9371498687488689
3068576400087200221,,1300.0600178585098,2746.8984971626046,8592.28939189001,2736.1143361642585,8587.258209525788,2758.2744286949646,8597.389944290293,2.618730373794836,77,0.4441495271809456,0.8269645823047606
3068576400048200055,,3420.958659664802,2597.271234873522,7768.631955852385,2582.655313787846,7759.910437254922,2609.3827998431466,7777.050349749221,1.578029851046737,0,0.2606944212355089,0.8482012175130337
3068576400191200145,,3537.271083992904,2610.017096117645,10741.55862685066,2595.567774070677,10732.609951256049,2621.4144086700258,10751.60732826864,1.3500213187011492,0,0.2692560478508,0.8690323250605728
3068576400014200326,,3072.3627056667387,509.068745015973,7308.77976900176,498.75981613358414,7298.973314089352,519.8067684602862,7318.71687567403,1.000987757377048,2,0.2128194264312363,0.9902362207726636
3068576400027100018,,3632.046330215287,416.6228653324415,7359.944649360733,403.1360526939723,7349.662532544254,430.8724749891789,7368.909644571112,1.6557559279330998,9,0.2150858961412731,0.9582062495819555
3068576400065100284,,3242.95740455555,25.5927527238588,8412.787056971114,13.473151756411603,8403.770328142666,35.70378904814039,8423.243987542362,1.1800940598185634,0,0.2269327385859563,0.9389457827173128
3068576400003100163,,3277.04270324977,1091.2416286695552,6927.849763584703,1082.51219798665,6916.129905213439,1100.2811661109258,6939.1933991022825,1.2241689143814367,7,0.2067503816731042,0.9932534283393488
3068576400045200230,,2145.377571878365,1789.7992746246532,7890.072880923916,1779.64541423918,7881.920503858115,1798.5573118435211,7900.0442295824305,1.4285423266697663,1119,0.2982994705882276,0.8888494442985162
3068576400121100022,,2266.683352218798,1210.866918526454,9328.750042853952,1203.1357902958591,9315.841282624442,1219.14502505582,9340.566756629049,1.1594919477806909,868,0.2691683490861472,0.8894009243483747
3068576400160200018,,2006.9850179538032,1181.191451962268,10233.842820451164,1170.895640565015,10224.1656915476,1191.3729009501517,10241.649999726758,1.4453148564273492,22,0.3273163681601607,0.863016474465345
3068576400087200224,,1111.5409205656692,2705.658133407698,8592.214732524588,2696.586975190732,8587.465597699196,2718.8305511121403,8596.429348459164,2.586979797706411,70,0.5414946229209091,0.8048964182210125
3068576400191100179,,3230.1281130748525,2608.754243752946,10782.571579477566,2592.5338323024744,10774.529347671563,2621.6116537470702,10793.330690899553,1.6368388970292918,0,0.289593665797446,0.7324480432879235
3068576400086100097,,4875.144668834879,2492.4933871977664,8505.038896577576,2477.2670544134626,8493.724204209424,2505.230688794324,8516.61527769031,1.1888130981589726,15,0.1847355712474567,0.9359267883688552
3068576400057200039,,3643.662157383993,1462.2314139884602,7933.738000185397,1450.7220518391048,7915.801272057572,1474.0390218620716,7948.475470403256,2.1349874979449504,426,0.2754001339162144,0.8250703973291256
3068576400168200077,,3533.927524076156,3356.039997725594,10206.101476647878,3343.813271530566,10195.413317855802,3366.649966099449,10215.513189629592,1.0619709797200465,0,0.2220715754373335,0.9343582283142416
