EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,cluster
3066904300003100017,,1291.4318015757322,7624.477391855377,7511.256359601873,7618.448452522579,7504.713786918249,7630.953895135077,7517.57076120384,1.0127356057690198,1,0.3264282730253272,0.995449771053392,7
3066904300003100037,,395.6612224484599,7641.109713650056,7661.94639145096,7637.342454230355,7658.182827419551,7644.414466359697,7665.798901555021,1.1713168968583814,0,0.6061420550243269,0.987888948846224,7
3066904300003100039,,493.453597513769,7688.890409919904,7676.578985644204,7685.536571748198,7671.988152612747,7692.449131328784,7680.901102011229,1.3388181429493469,0,0.5474112719038448,0.9999999999999994,7
3066904300003200022,,74.8795179139411,7584.024449569311,7606.672314539815,7582.701961914,7604.828625062796,7585.610870762457,7608.364617833405,1.3137859190936194,0,1.397445826829551,0.9999999999999996,7
3066904300004100002,,3205.4385003125053,7762.4880968657,7411.052808822111,7752.573588609026,7398.702566537964,7770.830043222931,7421.637286422306,1.2958776311179172,3,0.2230491599351647,0.9524038157560724,7
3066904300004100003,,746.8422443032428,7874.350737625594,7527.212755256825,7869.778373692151,7522.338758047419,7879.42027890247,7532.227604851588,1.0857496667203448,2,0.4308229862977953,0.9932504582698573,7
3066904300004100004,,1141.2937019174578,7896.3062983173795,7625.214875977459,7887.994730620538,7620.581873188773,7907.975709527251,7630.268090776904,2.4354800415466453,287,0.4466028451900853,0.8958042584605582,7
3066904300004100007,,713.7130348720502,7872.058060330864,7628.2757734170145,7867.48593694368,7623.836170877387,7877.155312127014,7633.097541525394,1.1448082378762845,93,0.453471011728657,0.9831408759182588,7
3066904300004100010,,351.3527202822312,7849.790003001921,7630.677826254583,7845.774226344407,7627.7778569484735,7854.31049327526,7633.386882857031,1.6297684788711817,64,0.675399076783333,0.9676727177674436,7
3066904300004100013,,1091.5138428902558,7821.25996830156,7636.154489976338,7813.883422936541,7630.701325188958,7828.136659452984,7642.5329546337025,1.3726036152353107,204,0.4257353292757204,0.878649163876136,7
3066904300004100014,,2360.245044259684,7801.00816804162,7639.612971781053,7788.205352797255,7631.723713009999,7814.434341564645,7646.703594342509,2.594862901393706,253,0.2997842535263628,0.9218561309037456,7
3066904300004100015,,345.5075263602522,7851.491064296022,7634.836367942763,7847.239462795957,7632.331631756237,7856.013887803408,7637.84249309484,1.6971553491085265,56,0.6935548023336419,0.9857062584894152,7
3066904300004100016,,556.7477328212606,7900.296570224243,7635.681647129722,7894.92327510486,7632.32079459533,7906.904272509031,7639.054679866129,1.9491974263075509,125,0.5611951130809723,0.9564803814362824,7
3066904300004100018,,413.72735942324186,7869.303251642259,7636.286326590909,7862.946324281199,7633.265787187163,7875.408146481614,7639.176485524005,3.3719532099211365,55,0.7391721445607251,0.9813123890049664,7
3066904300004100019,,1137.2352242317304,7934.944306536558,7639.040763381244,7926.779467120176,7633.4258205637,7942.818411740502,7644.592609668726,1.1996763258583631,240,0.4023609950529517,0.9065378398199428,7
3066904300004100020,,1154.0771919205636,7871.3101739056,7640.60108701721,7862.627399572194,7634.357584968719,7882.526132607896,7646.703594342509,2.4480271743177475,285,0.5045522535110277,0.7647580881822721,7
3066904300004100021,,605.2400822414833,7858.052369259457,7637.50042229792,7852.135528825523,7633.965802490422,7863.376328659352,7641.0859414420975,1.4998093924532756,75,0.5049396247317536,0.9920110552334814,7
3066904300004100023,,1623.844209745088,7785.963154949108,7644.732050143094,7778.697302089686,7634.96360457033,7792.841878100165,7656.165773401535,1.8822583047674908,146,0.3778995087851846,0.7996113215251986,7
3066904300004100024,,1065.630333357518,7884.72471424105,7640.769350901087,7874.275862145435,7636.590912005146,7894.712737297505,7644.364902104702,3.0543831026449197,188,0.4666843051492169,0.9338439549053942,7
3066904300004100025,,210.1078017138773,7907.192348445665,7640.86583801928,7905.232485315771,7637.186995448163,7909.711878949433,7644.093395171438,1.9839860684085304,55,0.9027544259616436,1.0,7
3066904300004100026,,264.0236899424366,7927.196457527565,7640.669654402184,7924.183542893843,7637.152991078898,7930.613398160691,7643.960477984175,2.303172067293839,42,0.8056381771064602,1.0,7
3066904300004100029,,1479.2719348877797,7849.397520176347,7643.964245389186,7841.835170787776,7637.77409314692,7857.992390874149,7650.198263761208,1.1416512608060092,228,0.3362274382297325,0.9443724540804324,7
3066904300004100032,,1029.4311542493856,7893.49584769582,7647.051815247528,7885.759012711737,7641.246322893223,7900.418049689435,7652.425561903256,1.5413838500620536,191,0.4154537168827303,0.9272438959550788,7
3066904300004100035,,541.9170436458327,7909.199763128018,7648.156191148301,7905.171614369514,7644.017088808501,7913.484371928918,7652.298838721916,1.0949500698219512,156,0.5132418970069094,0.9911354502686086,7
3066904300004100036,,164.11548966579505,7832.18707598993,7647.276054711424,7829.657424298717,7645.026196380276,7834.448278715464,7649.409285594666,1.087685190414996,49,0.9346653320973825,1.0,7
