names,scores,pvals,pvals_adj,cluster
marcksl1a,12.795856,5.48E-29,1.74E-27,LPM-3
ndnf,8.316426,4.47E-14,4.73E-13,LPM-3
nkx2.5,11.164948,2.04E-22,3.24E-21,LPM-3
prdm1a,9.274056,1.16E-16,1.47E-15,LPM-3
ptmaa,5.02393,1.23E-06,5.22E-06,LPM-3
rbms2b,4.6793065,5.02E-06,1.82E-05,LPM-3
rdh10a,22.324455,9.68E-51,1.23E-48,LPM-3
serpinh1b,5.582389,7.96E-08,4.21E-07,LPM-3
tmem88a,12.349088,1.27E-24,2.30E-23,LPM-3
fabp3,2.7430384,0.006689722,0.014159911,LPM-3
fzd8b,1.5900023,0.114027064,0.164561785,LPM-3
hoxb3a,2.6116958,0.009899634,0.019342363,LPM-3
hoxb7a,2.632867,0.009289152,0.018433161,LPM-3
kirrel1b,4.0582776,7.91E-05,0.000218447,LPM-3
meis2a,13.250654,6.28E-28,1.60E-26,LPM-3
meis3,17.446245,1.15E-39,4.85E-38,LPM-3
msgn1,2.1599007,0.032271016,0.055384042,LPM-3
pitx3,-4.368329,1.73E-05,5.50E-05,LPM-3
spi1b,-2.2013261,0.028771869,0.050055169,LPM-3
tbx16,2.255896,0.025396855,0.046077152,LPM-3
