,EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,cluster,Cell_ID
0,3071551700005100006,,111.93943185755676,3896.003355806832,7982.477179373186,3894.31877076669,7980.435725166844,3897.770678906531,7984.751902969589,1.3142213344006457,0,1.252199749812314,0.9155437533822312,18,3071551700005100006	
1,3071551700005100009,,432.89254024025865,3828.837335210974,7987.263410426722,3825.295731841783,7983.485424959715,3832.444679513669,7990.891567474679,1.0410171166849247,0,0.562735840275804,1.0000000000000002,18,3071551700005100009	
2,3071551700005100011,,63.307328489306215,3842.3631472725824,7990.460313013986,3840.886157538705,7988.913559496287,3843.782552962998,7991.855781670387,1.1387912505491369,0,1.501402170225631,1.0,18,3071551700005100011	
3,3071551700005100012,,385.7345133648948,3812.217799532758,7991.6179354982,3808.48258027464,7988.02122315836,3815.570144659688,7995.874766757002,1.3067160890101914,0,0.6647521609073639,0.9254974620266648,18,3071551700005100012	
4,3071551700005100019,,196.69809902239632,3810.3340012645776,7999.890737005823,3807.415677531091,7997.830573992036,3813.562616913601,8002.09219096137,1.738285295475125,0,0.8917544867166188,0.9785227244838198,18,3071551700005100019	
5,3071551700005100030,,159.89217967025726,3809.20767504111,8014.752042994574,3807.2992871588767,8012.232453947222,3811.33855257705,8017.001262716883,1.1811814954005089,0,0.947162637128342,1.0000000000000004,18,3071551700005100030	
6,3071551700005100035,,369.2502727709309,3880.484271753935,8020.929860299743,3877.011880766281,8017.503911449734,3883.772541938658,8024.663183203608,1.0891822688502957,0,0.6166479383390896,0.9901845099398286,18,3071551700005100035	
7,3071551700005200009,,113.98572464091212,3900.371228937248,7982.651893681207,3898.678186156227,7980.442221577417,3902.352503845808,7985.291178438312,1.840284163488669,0,1.24059090879143,0.9344498712616076,18,3071551700005200009	
8,3071551700005200023,,658.2587890018169,3874.992578234225,8003.64925555324,3870.616344422704,7999.564886164363,3879.655220689796,8008.300294371243,1.0392436106513132,0,0.4630921195784448,0.987090752034668,18,3071551700005200023	
9,3071551700005200032,,171.5295501654229,3810.247858023508,8024.986030824157,3807.4218949232272,8023.182519036884,3813.142004777463,8027.039081053499,1.6861937758036496,0,0.9765706316070252,0.9564740735672824,18,3071551700005200032	
10,3071551700005200034,,222.096137433962,3806.938652616355,8038.277496811657,3805.734960241337,8033.390749148309,3808.278136827889,8043.217756944984,3.8644820370781545,0,1.079842393394013,0.9368032521184412,18,3071551700005200034	
11,3071551700005200039,,95.00550827543384,3806.867077824907,8052.953017002298,3805.6877577890814,8050.58770552449,3808.056410327145,8055.335866546153,2.2312450369079007,0,1.3311625788698205,1.0,18,3071551700005200039	
12,3071551700005200043,,118.11870652627952,3817.877883417736,8059.487831288823,3815.030505152581,8055.322106781422,3820.3661743443263,8063.083708463564,2.408245494836964,0,1.5630536963792,0.5136609396686016,18,3071551700005200043	
13,3071551700006100001,,541.410661227942,4079.71205159332,7982.013816799846,4073.107405094153,7979.685361383097,4086.207598536912,7984.412337564233,2.7757428965349127,0,0.6067786654548223,0.975524630927352,18,3071551700006100001	
14,3071551700006100002,,727.5085910647466,4140.257925396493,7982.792563283154,4133.776518803052,7979.687381197456,4147.233643239768,7986.56561696647,1.9851797759562488,0,0.506696144714133,0.9421484413690056,18,3071551700006100002	
15,3071551700006100003,,178.28381491756733,4148.179020718532,7981.629161437596,4145.581754731758,7979.752316685063,4151.04918055463,7984.146731421694,1.1463970778073826,0,0.9164469504802204,1.0,18,3071551700006100003	
16,3071551700006100009,,122.8436250034442,4066.948525935851,7981.596218842171,4064.767275510048,7979.901351773508,4069.189915873733,7983.274600351884,1.2607963688731672,0,1.082540738995107,0.9999999999999996,18,3071551700006100009	
17,3071551700006100019,,249.0298777946638,4167.399258933666,7982.061958163861,4164.34599762035,7979.902245601388,4170.486038621923,7984.317949611561,1.3877822210012198,0,0.7687760966184195,0.9958135807082006,18,3071551700006100019	
18,3071551700006100030,,96.3769795232962,4181.408065763575,7981.702004138139,4179.624332871596,7980.111739581227,4183.550141252419,7983.398448833408,1.3760669058529054,0,1.2362501521224811,1.0,18,3071551700006100030	
19,3071551700006100031,,67.74186194843314,3885.8068803655415,7981.749099071131,3884.1021645125993,7980.441942571149,3887.405711391397,7983.0027550403875,1.2872993621562117,0,1.456836187998588,1.0000000000000002,18,3071551700006100031	
20,3071551700006100037,,125.54254708178244,3933.872852547142,7982.434763768368,3931.898199742771,7980.44334756395,3935.586718845264,7984.738880592405,1.2479429190860605,0,1.0709601186925732,1.0,18,3071551700006100037	
21,3071551700006100053,,71.4838338458336,4004.260864001372,8046.195294950019,4002.774738365738,8044.575343993461,4005.769769183472,8047.768768197815,1.4936758436120272,0,1.4302828010585904,1.0000000000000002,18,3071551700006100053	
22,3071551700006100054,,752.8275601278723,4135.777944964036,8053.771900643355,4131.4847552833,8048.148712560903,4140.164669662456,8058.882058632302,1.2360671361527904,0,0.4432175559130785,0.9806608536731968,18,3071551700006100054	
23,3071551700006100055,,712.6409182637457,3950.091648023129,8054.454590392904,3945.617810678677,8049.484847873254,3954.6379023431823,8059.372590465257,1.12107161029399,0,0.4416860642943928,0.9894856110316672,18,3071551700006100055	
24,3071551700006100058,,663.3186454236998,4093.202707445543,8064.418862039295,4089.061666587973,8059.063326763408,4097.265113199464,8069.351208131792,1.3249584821679543,0,0.4596412622870139,1.0,18,3071551700006100058	
25,3071551700006200001,,588.6460615080093,4126.506616572625,7982.318570209572,4120.488359545892,7979.679758800404,4132.372309016309,7985.1267817701155,2.1854401346437564,0,0.5414440520231686,0.9870149172326528,18,3071551700006200001	
26,3071551700006200005,,386.9542748146395,4153.671249149332,7982.41739462827,4148.104567415276,7979.801967942004,4158.159762333798,7985.071896163643,1.906273894192057,0,0.7431260997915856,0.8752454528398818,18,3071551700006200005	
27,3071551700006200006,,151.25747909043963,4028.5001906611983,7981.923067683682,4026.132698569218,7980.133767947805,4030.83230828097,7983.758830453685,1.2927849254339807,0,0.9731931837264112,0.9999999999999996,18,3071551700006200006	
28,3071551700006200007,,245.68755459949512,4036.091575269282,7981.975029482535,4032.8012088793976,7979.901351773508,4039.5290490393672,7984.10106539327,1.608565936360962,0,0.7847156951530051,0.9959758303330892,18,3071551700006200007	
29,3071551700006200008,,186.7798442578849,4043.1292807033856,7982.044040561989,4040.6180651866302,7979.895749190815,4045.5381205788535,7984.539542584666,1.0405878922606886,0,0.8681087470585284,1.0,18,3071551700006200008	
30,3071551700006200009,,175.27338188956546,4047.74570508874,7982.016351087082,4045.599909672661,7979.902245601388,4049.987618539825,7984.188515016284,1.0299090907925914,0,0.9106775184368426,0.997645640623514,18,3071551700006200009	
31,3071551700006200016,,194.03119793453013,4093.7506368486856,7981.773070111586,4091.010505188328,7979.902245601388,4096.620641778127,7983.946470634846,1.4009106160245255,0,0.8665131540298352,1.0,18,3071551700006200016	
32,3071551700006200017,,354.5266404050017,4101.380721694427,7982.0065901417565,4096.853611248722,7979.895749190815,4106.0107174949535,7984.339164991423,2.114800362032104,0,0.6879011268008667,0.9982586886571791,18,3071551700006200017	
33,3071551700006200018,,150.0343708468206,4114.484937260552,7981.734734151069,4111.907683107815,7980.091739288547,4117.037296302338,7983.567585827814,1.4170480141864426,0,0.9922838923575288,0.9999999999999996,18,3071551700006200018	
