,x_shift,y_shift,cluster
0,-6498.28331736026,-6645.038245714431,cluster_5
1,-6498.391820791882,-6644.734212955401,cluster_5
2,-6504.288151528021,-6628.212360373697,cluster_5
3,-6493.464950062532,-6658.5395837058095,cluster_5
4,-6499.622886491304,-6641.284697160844,cluster_5
5,-6506.824615934385,-6621.105043488667,cluster_5
6,-6482.121609503691,-6690.324266228545,cluster_5
7,-6506.072205440518,-6623.213340295088,cluster_5
8,-6497.723231214305,-6646.607638808312,cluster_5
9,-6512.147742545971,-6606.189341319637,cluster_5
10,-6402.0266638728,-6914.754838981601,cluster_5
11,-6400.527703359669,-6918.955011212771,cluster_0
12,-6403.120543175254,-6911.689727239045,cluster_1
13,-6397.874588506907,-6926.389189253536,cluster_1
14,-6384.598316739608,-6963.590054467816,cluster_0
15,-6384.513412325352,-6963.827961443976,cluster_0
16,-6371.88682191511,-6999.208382709859,cluster_0
17,-6348.269000210222,-7065.386856403252,cluster_5
18,-6338.50549365934,-7092.744754583127,cluster_5
19,-6301.828478951036,-7195.515826503078,cluster_5
20,-6394.380130599796,-6936.180858170677,cluster_0
21,-6393.953353652434,-6937.376711341933,cluster_5
22,-6377.42935085046,-6983.677902806752,cluster_0
23,-6371.181301904852,-7001.185289726196,cluster_0
24,-6367.354194624087,-7011.909061023424,cluster_0
25,-6361.367871867701,-7028.68307634134,cluster_0
26,-6356.357468378447,-7042.72251061475,cluster_5
27,-6330.932839033026,-7113.963761621061,cluster_5
28,-6324.868168966493,-7130.957310538152,cluster_5
29,-6320.6840792535595,-7142.681366823191,cluster_5
30,-6313.09243493466,-7163.953584054975,cluster_5
31,-6292.947964646692,-7220.399530411818,cluster_5
32,-6283.9543028913595,-7245.600279884802,cluster_5
33,-6267.959560744817,-7290.418453025574,cluster_5
34,-6486.235449771795,-6678.797052865544,cluster_5
35,-6491.010432906014,-6665.417279756795,cluster_5
36,-6480.943104249206,-6693.626504680338,cluster_5
37,-6484.482381424924,-6683.709249634822,cluster_5
38,-6503.871235778914,-6629.3805819090885,cluster_5
39,-6487.68506072679,-6674.735160890516,cluster_5
40,-6494.649191867494,-6655.22127111477,cluster_5
41,-6465.2647338602565,-6737.5581862428935,cluster_5
42,-6480.242188372162,-6695.590510654719,cluster_5
43,-6499.34509315518,-6642.063089817739,cluster_5
44,-6474.93143497166,-6710.471542385704,cluster_5
45,-6497.687316160922,-6646.708274821453,cluster_5
46,-6505.430955773762,-6625.010158169848,cluster_5
47,-6489.300562089114,-6670.208434601187,cluster_5
48,-6504.359957036857,-6628.011157272205,cluster_5
49,-6482.9764909954865,-6687.92883988387,cluster_5
50,-6491.233640318819,-6664.7918399477785,cluster_5
51,-6506.803870337964,-6621.163173824485,cluster_5
52,-6482.407883048836,-6689.522111545815,cluster_5
53,-6471.038353525687,-6721.3801770293985,cluster_5
54,-6468.886437807257,-6727.4099667171195,cluster_5
55,-6465.179890125161,-6737.795923192608,cluster_5
56,-6495.289587114258,-6653.426847373201,cluster_5
57,-6462.8965354950105,-6744.194012153235,cluster_5
58,-6476.507014121563,-6706.056680396035,cluster_5
59,-6500.053543291502,-6640.077972422259,cluster_0
60,-6504.903444764909,-6626.488273885117,cluster_0
61,-6451.738202033379,-6775.460294314214,cluster_5
62,-6476.291595509775,-6706.660295543586,cluster_5
63,-6483.799172192232,-6685.623640589152,cluster_5
64,-6476.627675844209,-6705.718579417133,cluster_5
65,-6470.331810462087,-6723.3599506991295,cluster_5
66,-6487.587352326703,-6675.008945359955,cluster_2
67,-6484.276872441951,-6684.285097441337,cluster_5
68,-6486.654451413464,-6677.622986541092,cluster_1
69,-6456.649601643887,-6761.698274514799,cluster_5
70,-6452.285255951476,-6773.927418260698,cluster_5
71,-6469.196702735242,-6726.540586821241,cluster_5
72,-6479.253072034735,-6698.362070637431,cluster_2
73,-6470.939080244519,-6721.6583463842335,cluster_5
74,-6440.003229067573,-6808.342353016077,cluster_5
75,-6453.216470205232,-6771.318103194931,cluster_5
76,-6467.990190742657,-6729.921301738972,cluster_5
77,-6455.82019626841,-6764.022315339055,cluster_5
78,-6439.708454854115,-6809.168327052741,cluster_5
79,-6435.438044137435,-6821.134259677902,cluster_5
80,-6434.987615954951,-6822.396384949137,cluster_5
81,-6434.14784630773,-6824.749467049661,cluster_5
82,-6429.391045981729,-6838.078290900248,cluster_5
83,-6430.27157614936,-6835.6109955136135,cluster_5
84,-6457.87616696301,-6758.261369040656,cluster_5
85,-6427.152990234404,-6844.349449826307,cluster_5
86,-6451.027610187555,-6777.451412900983,cluster_5
87,-6448.739506202814,-6783.86280982209,cluster_5
88,-6449.255371382802,-6782.417326378704,cluster_5
89,-6466.195629850377,-6734.949762969854,cluster_2
90,-6422.176861324896,-6858.292844786591,cluster_5
91,-6457.993730093959,-6757.931950491138,cluster_1
92,-6450.930374706393,-6777.723872224815,cluster_5
93,-6441.936800924701,-6802.924375190681,cluster_5
94,-6460.092218263529,-6752.051867820474,cluster_2
95,-6430.345080506098,-6835.4050321441055,cluster_5
96,-6426.052127561935,-6847.434129367051,cluster_5
97,-6418.360063693013,-6868.987727863902,cluster_5
98,-6454.013122417375,-6769.085838588871,cluster_2
99,-6441.602392829156,-6803.861405609082,cluster_5
100,-6437.950406411817,-6814.094478331385,cluster_5
101,-6445.621671138972,-6792.599160207447,cluster_5
102,-6431.066397583844,-6833.383860850213,cluster_5
103,-6422.4365185353445,-6857.565270580733,cluster_5
104,-6412.772407483667,-6884.6446569439195,cluster_5
105,-6414.941613154637,-6878.5664198302,cluster_4
106,-6421.186170805287,-6861.068815716912,cluster_2
107,-6445.724048882755,-6792.312291972585,cluster_2
108,-6429.658867941986,-6837.32783860313,cluster_2
109,-6435.878170013128,-6819.90100205363,cluster_5
110,-6434.026537942753,-6825.0893799569885,cluster_5
111,-6446.319995814921,-6790.642414925252,cluster_1
112,-6438.9472814941,-6811.301177906273,cluster_2
113,-6406.161733995108,-6903.168138365055,cluster_1
114,-6418.166989678726,-6869.5287321840715,cluster_3
115,-6410.978073439355,-6889.672482533949,cluster_1
116,-6413.995778596058,-6881.216701817903,cluster_3
117,-6421.325928101764,-6860.6772078589165,cluster_5
118,-6409.5787617982,-6893.59343298358,cluster_3
119,-6424.236038411993,-6852.522913994866,cluster_2
120,-6416.848037708201,-6873.224510286511,cluster_2
121,-6407.281027574937,-6900.031814378302,cluster_5
122,-6417.79460796712,-6870.572166824801,cluster_5
123,-6402.169397427814,-6914.354891478663,cluster_5
124,-6506.792060812351,-6621.196264783926,cluster_5
125,-6475.911748503887,-6707.72464836159,cluster_5
126,-6478.233717184309,-6701.218360645715,cluster_5
127,-6475.593677537631,-6708.615901218691,cluster_5
128,-6486.971163349578,-6676.735541763396,cluster_5
129,-6500.214811344885,-6639.626090205442,cluster_5
130,-6469.711075630423,-6725.099284844383,cluster_5
131,-6475.138982798617,-6709.889981622903,cluster_5
132,-6493.202805468652,-6659.274127700881,cluster_5
133,-6498.4554963380015,-6644.555790469769,cluster_5
134,-6478.099295352657,-6701.595018229172,cluster_5
135,-6471.428929775852,-6720.285760261427,cluster_5
136,-6465.473550389323,-6736.973070504945,cluster_5
137,-6500.932858312942,-6637.614081944055,cluster_0
138,-6457.7462147426,-6758.625502520333,cluster_5
139,-6458.450008212071,-6756.653433369041,cluster_5
140,-6469.382965697471,-6726.018667454588,cluster_5
141,-6504.157924759756,-6628.577263152012,cluster_0
142,-6477.760297998437,-6702.544908010231,cluster_5
143,-6495.422336674625,-6653.054875588576,cluster_4
144,-6460.963505746987,-6749.610470958226,cluster_5
145,-6469.699022392533,-6725.133058699422,cluster_5
146,-6497.573122178892,-6647.028252824935,cluster_5
147,-6458.827030254541,-6755.596996258489,cluster_5
148,-6464.1770361619165,-6740.605976780707,cluster_5
149,-6484.070040500672,-6684.864652251936,cluster_2
150,-6444.068935155295,-6796.950014351937,cluster_5
151,-6462.452203825715,-6745.439054649324,cluster_5
152,-6446.789745025801,-6789.3261510384655,cluster_5
153,-6464.014686446565,-6741.0608898756045,cluster_5
154,-6472.614097996622,-6716.964851800836,cluster_2
155,-6464.342184648918,-6740.143221369177,cluster_5
156,-6467.31450480581,-6731.814611992361,cluster_5
157,-6451.422189041966,-6776.345780609281,cluster_5
158,-6440.814379937643,-6806.069462349567,cluster_5
159,-6458.193497354393,-6757.372191316281,cluster_5
160,-6471.12355226664,-6721.141445333169,cluster_1
161,-6431.133669741807,-6833.19536045455,cluster_5
162,-6455.7294646383025,-6764.276550503975,cluster_5
163,-6427.529080134431,-6843.295624631659,cluster_5
164,-6448.154152376628,-6785.503004386666,cluster_5
165,-6460.459875071484,-6751.0216726273065,cluster_5
166,-6422.67768790394,-6856.889500354561,cluster_5
167,-6446.605393684806,-6789.842713934181,cluster_5
168,-6428.556997009516,-6840.415343345486,cluster_5
169,-6451.741765138913,-6775.450310290758,cluster_5
170,-6442.880118608849,-6800.281145627643,cluster_5
171,-6414.8171267936295,-6878.915237662346,cluster_5
172,-6425.609348951988,-6848.674820102907,cluster_2
173,-6418.761986009878,-6867.8615187746045,cluster_5
174,-6422.074627569701,-6858.579309557274,cluster_5
175,-6440.970454490455,-6805.632132615415,cluster_5
176,-6437.25174993006,-6816.052153352239,cluster_5
177,-6440.038409591443,-6808.243775196218,cluster_5
178,-6452.031905182203,-6774.637321461297,cluster_3
179,-6412.083478789381,-6886.575074153479,cluster_4
180,-6416.209545301262,-6875.013602163148,cluster_4
181,-6433.089171212509,-6827.715934610234,cluster_5
